instant,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Date_Integer
701,1,0,2,13,False,2,2,0.2,0.2576,0.86,0.0,3,49,52,1022011
702,1,0,2,14,False,2,2,0.22,0.2576,0.8,0.0896,5,49,54,1022011
703,1,0,2,15,False,2,2,0.24,0.2879,0.75,0.0,7,45,52,1022011
704,1,0,2,16,False,2,2,0.24,0.2424,0.75,0.1343,3,61,64,1022011
705,1,0,2,17,False,2,2,0.24,0.2879,0.75,0.0,4,172,176,1022011
706,1,0,2,18,False,2,2,0.24,0.2576,0.81,0.1045,3,165,168,1022011
707,1,0,2,19,False,2,2,0.24,0.2424,0.81,0.1343,3,105,108,1022011
708,1,0,2,20,False,2,2,0.22,0.2273,0.87,0.1343,5,69,74,1022011
709,1,0,2,21,False,2,2,0.22,0.2273,0.87,0.1343,0,64,64,1022011
710,1,0,2,22,False,2,2,0.22,0.2576,0.87,0.0896,2,34,36,1022011
711,1,0,2,23,False,2,3,0.2,0.197,0.93,0.194,1,15,16,1022011
712,1,0,2,0,False,3,3,0.22,0.2424,0.93,0.1045,0,2,2,2022011
713,1,0,2,1,False,3,3,0.22,0.2273,0.93,0.194,0,3,3,2022011
714,1,0,2,2,False,3,3,0.22,0.2273,0.93,0.1343,4,0,4,2022011
715,1,0,2,3,False,3,3,0.22,0.2273,0.93,0.1343,0,1,1,2022011
716,1,0,2,4,False,3,3,0.22,0.2121,0.93,0.2836,0,1,1,2022011
717,1,0,2,5,False,3,3,0.22,0.2424,0.93,0.1045,0,3,3,2022011
718,1,0,2,6,False,3,3,0.22,0.2424,0.93,0.1045,1,17,18,2022011
719,1,0,2,7,False,3,3,0.22,0.2121,0.93,0.2239,1,48,49,2022011
720,1,0,2,8,False,3,3,0.22,0.2121,0.93,0.2239,1,154,155,2022011
721,1,0,2,9,False,3,2,0.24,0.2576,0.93,0.0896,4,119,123,2022011
722,1,0,2,10,False,3,2,0.22,0.2727,1.0,0.0,2,59,61,2022011
723,1,0,2,11,False,3,2,0.24,0.2273,0.93,0.194,5,47,52,2022011
724,1,0,2,12,False,3,2,0.24,0.2273,0.93,0.2239,3,61,64,2022011
725,1,0,2,13,False,3,1,0.34,0.3333,0.93,0.1642,1,74,75,2022011
726,1,0,2,14,False,3,1,0.38,0.3939,0.82,0.3881,2,61,63,2022011
727,1,0,2,15,False,3,1,0.38,0.3939,0.76,0.3284,10,66,76,2022011
728,1,0,2,16,False,3,1,0.36,0.3333,0.71,0.2985,8,95,103,2022011
729,1,0,2,17,False,3,1,0.36,0.3182,0.53,0.5224,7,183,190,2022011
730,1,0,2,18,False,3,1,0.34,0.2879,0.42,0.5522,7,175,182,2022011
731,1,0,2,19,False,3,1,0.28,0.2424,0.45,0.4925,3,88,91,2022011
732,1,0,2,20,False,3,1,0.24,0.197,0.48,0.5522,4,71,75,2022011
733,1,0,2,21,False,3,1,0.22,0.197,0.47,0.3284,1,62,63,2022011
734,1,0,2,22,False,3,1,0.22,0.2121,0.44,0.2537,5,35,40,2022011
735,1,0,2,23,False,3,1,0.2,0.1667,0.44,0.4478,3,29,32,2022011
736,1,0,2,0,False,4,1,0.2,0.1667,0.4,0.4478,1,11,12,3022011
737,1,0,2,1,False,4,1,0.2,0.1515,0.44,0.5224,0,5,5,3022011
738,1,0,2,2,False,4,1,0.18,0.1667,0.43,0.2537,0,2,2,3022011
739,1,0,2,3,False,4,1,0.18,0.1667,0.43,0.2537,0,1,1,3022011
740,1,0,2,5,False,4,1,0.16,0.1364,0.5,0.2985,0,2,2,3022011
741,1,0,2,6,False,4,1,0.16,0.1364,0.43,0.3582,0,39,39,3022011
742,1,0,2,7,False,4,1,0.14,0.1212,0.5,0.3284,1,86,87,3022011
743,1,0,2,8,False,4,1,0.14,0.1212,0.5,0.3582,4,184,188,3022011
744,1,0,2,9,False,4,1,0.16,0.1364,0.47,0.2985,6,127,133,3022011
745,1,0,2,10,False,4,1,0.18,0.1515,0.43,0.3284,2,50,52,3022011
746,1,0,2,11,False,4,1,0.18,0.1364,0.43,0.4478,9,55,64,3022011
747,1,0,2,12,False,4,1,0.2,0.1818,0.4,0.3582,2,67,69,3022011
748,1,0,2,13,False,4,1,0.2,0.1667,0.4,0.4179,4,47,51,3022011
749,1,0,2,14,False,4,1,0.22,0.197,0.37,0.3881,4,43,47,3022011
750,1,0,2,15,False,4,1,0.22,0.197,0.37,0.3284,4,56,60,3022011
751,1,0,2,16,False,4,1,0.22,0.2121,0.37,0.2537,5,73,78,3022011
752,1,0,2,17,False,4,1,0.2,0.197,0.4,0.194,5,170,175,3022011
753,1,0,2,18,False,4,1,0.2,0.2121,0.4,0.1642,2,145,147,3022011
754,1,0,2,19,False,4,1,0.2,0.2576,0.4,0.0,4,92,96,3022011
755,1,0,2,20,False,4,1,0.2,0.2273,0.47,0.0896,1,108,109,3022011
756,1,0,2,21,False,4,1,0.18,0.2121,0.55,0.1045,1,53,54,3022011
757,1,0,2,22,False,4,1,0.18,0.2121,0.51,0.0896,2,39,41,3022011
758,1,0,2,23,False,4,1,0.2,0.2273,0.47,0.1045,4,34,38,3022011
759,1,0,2,0,False,5,2,0.2,0.2576,0.44,0.0,3,10,13,4022011
760,1,0,2,1,False,5,2,0.16,0.2273,0.59,0.0,0,7,7,4022011
761,1,0,2,2,False,5,2,0.14,0.1667,0.63,0.1045,0,1,1,4022011
762,1,0,2,3,False,5,2,0.14,0.1667,0.63,0.1045,0,1,1,4022011
763,1,0,2,5,False,5,2,0.14,0.1515,0.63,0.1343,0,7,7,4022011
764,1,0,2,6,False,5,2,0.16,0.2273,0.55,0.0,2,26,28,4022011
765,1,0,2,7,False,5,1,0.14,0.2121,0.59,0.0,0,87,87,4022011
766,1,0,2,8,False,5,1,0.14,0.1515,0.74,0.1343,3,217,220,4022011
767,1,0,2,9,False,5,2,0.16,0.1818,0.8,0.1343,3,124,127,4022011
768,1,0,2,10,False,5,2,0.2,0.2121,0.51,0.1343,5,46,51,4022011
769,1,0,2,11,False,5,1,0.22,0.2273,0.51,0.1642,3,61,64,4022011
770,1,0,2,12,False,5,2,0.24,0.2424,0.48,0.1642,8,78,86,4022011
771,1,0,2,13,False,5,2,0.26,0.2576,0.5,0.2239,9,73,82,4022011
772,1,0,2,14,False,5,2,0.28,0.2727,0.45,0.1642,15,76,91,4022011
773,1,0,2,15,False,5,2,0.28,0.2727,0.48,0.2537,9,81,90,4022011
774,1,0,2,16,False,5,2,0.3,0.2879,0.42,0.2239,8,91,99,4022011
775,1,0,2,17,False,5,2,0.26,0.2727,0.56,0.1343,10,195,205,4022011
776,1,0,2,18,False,5,2,0.24,0.2576,0.6,0.1045,3,152,155,4022011
777,1,0,2,19,False,5,2,0.24,0.2424,0.65,0.1343,1,102,103,4022011
778,1,0,2,20,False,5,2,0.24,0.2424,0.65,0.1642,2,69,71,4022011
779,1,0,2,21,False,5,2,0.24,0.2424,0.7,0.1642,2,41,43,4022011
780,1,0,2,22,False,5,2,0.24,0.2424,0.65,0.1642,1,45,46,4022011
781,1,0,2,23,False,5,2,0.24,0.2424,0.7,0.1343,1,30,31,4022011
782,1,0,2,0,False,6,2,0.24,0.2424,0.7,0.1642,3,36,39,5022011
783,1,0,2,1,False,6,2,0.24,0.2424,0.65,0.1642,1,17,18,5022011
784,1,0,2,2,False,6,2,0.24,0.2424,0.75,0.1642,5,12,17,5022011
785,1,0,2,3,False,6,2,0.24,0.2424,0.75,0.1642,1,10,11,5022011
786,1,0,2,4,False,6,3,0.22,0.2273,0.93,0.1343,0,8,8,5022011
787,1,0,2,5,False,6,3,0.2,0.2273,1.0,0.0896,0,9,9,5022011
788,1,0,2,6,False,6,3,0.2,0.2576,1.0,0.0,0,4,4,5022011
789,1,0,2,7,False,6,3,0.22,0.2576,0.93,0.0896,0,4,4,5022011
790,1,0,2,8,False,6,3,0.2,0.2273,1.0,0.0896,0,10,10,5022011
791,1,0,2,9,False,6,3,0.2,0.2273,1.0,0.0896,3,17,20,5022011
792,1,0,2,10,False,6,3,0.2,0.2121,1.0,0.1343,3,31,34,5022011
793,1,0,2,11,False,6,3,0.22,0.2273,1.0,0.1343,1,46,47,5022011
794,1,0,2,12,False,6,3,0.22,0.2273,1.0,0.1642,10,42,52,5022011
795,1,0,2,13,False,6,3,0.22,0.2273,1.0,0.1642,10,62,72,5022011
796,1,0,2,14,False,6,3,0.22,0.2727,1.0,0.0,5,50,55,5022011
797,1,0,2,15,False,6,3,0.22,0.2727,1.0,0.0,11,49,60,5022011
798,1,0,2,16,False,6,3,0.22,0.2273,1.0,0.1343,8,63,71,5022011
799,1,0,2,17,False,6,2,0.24,0.2121,1.0,0.2836,14,64,78,5022011
800,1,0,2,18,False,6,2,0.28,0.2424,0.93,0.4478,2,81,83,5022011
801,1,0,2,19,False,6,2,0.28,0.2424,0.93,0.4478,6,78,84,5022011
802,1,0,2,20,False,6,1,0.3,0.2879,0.87,0.2537,5,64,69,5022011
803,1,0,2,21,False,6,1,0.26,0.2576,1.0,0.194,3,53,56,5022011
804,1,0,2,22,False,6,1,0.26,0.2727,0.93,0.1343,2,43,45,5022011
805,1,0,2,23,False,6,1,0.26,0.2576,0.93,0.2239,7,52,59,5022011
806,1,0,2,0,False,0,1,0.26,0.2576,0.7,0.194,2,37,39,6022011
807,1,0,2,1,False,0,1,0.26,0.2273,0.65,0.4179,4,40,44,6022011
808,1,0,2,2,False,0,1,0.26,0.2273,0.6,0.3284,0,20,20,6022011
809,1,0,2,3,False,0,1,0.26,0.2879,0.6,0.0896,3,10,13,6022011
810,1,0,2,4,False,0,1,0.26,0.2273,0.6,0.3582,0,2,2,6022011
811,1,0,2,5,False,0,1,0.26,0.2576,0.6,0.2239,0,1,1,6022011
812,1,0,2,6,False,0,1,0.26,0.2576,0.6,0.2239,0,1,1,6022011
813,1,0,2,7,False,0,1,0.24,0.2424,0.65,0.1642,0,8,8,6022011
814,1,0,2,8,False,0,1,0.24,0.2576,0.65,0.1045,2,21,23,6022011
815,1,0,2,9,False,0,1,0.28,0.2879,0.56,0.1045,7,38,45,6022011
816,1,0,2,10,False,0,1,0.3,0.2879,0.52,0.2537,15,74,89,6022011
817,1,0,2,11,False,0,1,0.32,0.303,0.49,0.2537,28,89,117,6022011
818,1,0,2,12,False,0,1,0.34,0.3333,0.46,0.0,48,126,174,6022011
819,1,0,2,13,False,0,1,0.34,0.3636,0.46,0.0,47,135,182,6022011
820,1,0,2,14,False,0,1,0.34,0.3485,0.46,0.0896,47,114,161,6022011
821,1,0,2,15,False,0,1,0.34,0.3485,0.46,0.0896,52,130,182,6022011
822,1,0,2,16,False,0,1,0.34,0.3485,0.49,0.1045,42,115,157,6022011
823,1,0,2,17,False,0,1,0.34,0.3636,0.46,0.0,24,97,121,6022011
824,1,0,2,18,False,0,1,0.3,0.303,0.56,0.1642,13,65,78,6022011
825,1,0,2,19,False,0,1,0.28,0.2879,0.61,0.1343,1,20,21,6022011
826,1,0,2,20,False,0,1,0.28,0.2879,0.61,0.1045,5,21,26,6022011
827,1,0,2,21,False,0,1,0.26,0.303,0.6,0.0,5,22,27,6022011
828,1,0,2,22,False,0,1,0.26,0.303,0.6,0.0,5,57,62,6022011
829,1,0,2,23,False,0,1,0.24,0.2879,0.65,0.0,4,26,30,6022011
830,1,0,2,0,False,1,1,0.24,0.2879,0.65,0.0,1,14,15,7022011
831,1,0,2,1,False,1,1,0.22,0.2727,0.75,0.0,1,4,5,7022011
832,1,0,2,2,False,1,1,0.2,0.2576,0.8,0.0,0,3,3,7022011
833,1,0,2,3,False,1,1,0.2,0.2576,0.86,0.0,0,1,1,7022011
834,1,0,2,4,False,1,1,0.2,0.2576,0.86,0.0,1,1,2,7022011
835,1,0,2,5,False,1,1,0.2,0.2576,0.86,0.0,1,9,10,7022011
836,1,0,2,6,False,1,1,0.18,0.2424,0.93,0.0,1,29,30,7022011
837,1,0,2,7,False,1,1,0.18,0.2424,0.86,0.0,6,89,95,7022011
838,1,0,2,8,False,1,2,0.16,0.2273,1.0,0.0,7,223,230,7022011
839,1,0,2,9,False,1,1,0.22,0.2727,0.8,0.0,3,115,118,7022011
840,1,0,2,10,False,1,1,0.24,0.2576,0.75,0.1045,6,49,55,7022011
841,1,0,2,11,False,1,1,0.3,0.3182,0.65,0.0896,11,36,47,7022011
842,1,0,2,12,False,1,2,0.32,0.3485,0.62,0.0,7,59,66,7022011
843,1,0,2,13,False,1,2,0.36,0.3636,0.57,0.0896,10,54,64,7022011
844,1,0,2,14,False,1,2,0.36,0.3636,0.57,0.0896,8,52,60,7022011
845,1,0,2,15,False,1,2,0.38,0.3939,0.54,0.0896,4,46,50,7022011
846,1,0,2,16,False,1,2,0.36,0.3485,0.57,0.1343,16,98,114,7022011
847,1,0,2,17,False,1,2,0.32,0.3182,0.7,0.1642,9,207,216,7022011
848,1,0,2,18,False,1,2,0.34,0.3333,0.66,0.1343,5,170,175,7022011
849,1,0,2,19,False,1,2,0.32,0.3485,0.7,0.0,5,123,128,7022011
850,1,0,2,20,False,1,2,0.32,0.3333,0.7,0.1045,6,82,88,7022011
851,1,0,2,21,False,1,1,0.32,0.3485,0.7,0.0,3,75,78,7022011
852,1,0,2,22,False,1,1,0.28,0.303,0.81,0.0896,3,34,37,7022011
853,1,0,2,23,False,1,2,0.3,0.3333,0.81,0.0,6,19,25,7022011
854,1,0,2,0,False,2,2,0.28,0.3182,0.87,0.0,4,6,10,8022011
855,1,0,2,1,False,2,2,0.28,0.3182,0.87,0.0,0,4,4,8022011
856,1,0,2,2,False,2,2,0.26,0.2727,0.93,0.1045,1,1,2,8022011
857,1,0,2,3,False,2,3,0.28,0.2727,0.93,0.1642,0,1,1,8022011
858,1,0,2,4,False,2,1,0.26,0.2576,0.93,0.1642,0,3,3,8022011
859,1,0,2,5,False,2,1,0.26,0.2273,0.81,0.3284,0,2,2,8022011
860,1,0,2,6,False,2,1,0.26,0.2273,0.7,0.3284,0,39,39,8022011
861,1,0,2,7,False,2,1,0.24,0.197,0.65,0.4179,3,97,100,8022011
862,1,0,2,8,False,2,1,0.24,0.197,0.56,0.4925,7,236,243,8022011
863,1,0,2,9,False,2,1,0.24,0.197,0.52,0.4925,7,128,135,8022011
864,1,0,2,10,False,2,1,0.22,0.1818,0.47,0.5522,4,44,48,8022011
865,1,0,2,11,False,2,1,0.22,0.1818,0.47,0.4627,1,49,50,8022011
866,1,0,2,12,False,2,1,0.24,0.197,0.38,0.4925,2,63,65,8022011
867,1,0,2,13,False,2,2,0.24,0.197,0.32,0.4478,2,48,50,8022011
868,1,0,2,14,False,2,1,0.22,0.197,0.37,0.4179,3,61,64,8022011
869,1,0,2,15,False,2,1,0.22,0.197,0.35,0.3881,6,45,51,8022011
870,1,0,2,16,False,2,1,0.22,0.1818,0.35,0.5224,4,79,83,8022011
871,1,0,2,17,False,2,1,0.22,0.1818,0.32,0.5821,4,172,176,8022011
872,1,0,2,18,False,2,1,0.2,0.1818,0.32,0.3881,1,151,152,8022011
873,1,0,2,19,False,2,1,0.16,0.1212,0.4,0.4627,1,100,101,8022011
874,1,0,2,20,False,2,1,0.16,0.1364,0.4,0.3284,3,53,56,8022011
875,1,0,2,21,False,2,1,0.14,0.1061,0.33,0.4627,8,46,54,8022011
876,1,0,2,22,False,2,1,0.12,0.1061,0.33,0.3582,0,29,29,8022011
877,1,0,2,23,False,2,1,0.12,0.1061,0.33,0.3284,3,9,12,8022011
878,1,0,2,0,False,3,1,0.1,0.0758,0.36,0.3582,0,17,17,9022011
879,1,0,2,1,False,3,1,0.1,0.1061,0.36,0.2239,0,7,7,9022011
880,1,0,2,2,False,3,1,0.08,0.0758,0.38,0.2836,1,2,3,9022011
881,1,0,2,3,False,3,1,0.06,0.0758,0.45,0.1343,0,2,2,9022011
882,1,0,2,5,False,3,1,0.06,0.1061,0.45,0.1045,0,7,7,9022011
883,1,0,2,6,False,3,1,0.06,0.1515,0.45,0.0,0,43,43,9022011
884,1,0,2,7,False,3,1,0.06,0.1061,0.49,0.1045,4,95,99,9022011
885,1,0,2,8,False,3,1,0.1,0.1364,0.42,0.0,1,198,199,9022011
886,1,0,2,9,False,3,1,0.12,0.1364,0.39,0.1642,4,119,123,9022011
887,1,0,2,10,False,3,1,0.14,0.1818,0.36,0.0,8,51,59,9022011
888,1,0,2,11,False,3,2,0.14,0.1515,0.43,0.1642,1,40,41,9022011
889,1,0,2,12,False,3,2,0.18,0.1818,0.4,0.2239,4,57,61,9022011
890,1,0,2,13,False,3,1,0.18,0.1667,0.4,0.2537,2,67,69,9022011
891,1,0,2,14,False,3,1,0.2,0.1818,0.34,0.2985,2,56,58,9022011
892,1,0,2,15,False,3,2,0.2,0.1818,0.34,0.2836,3,61,64,9022011
893,1,0,2,16,False,3,2,0.2,0.197,0.37,0.2537,7,72,79,9022011
894,1,0,2,17,False,3,2,0.2,0.197,0.34,0.2537,9,157,166,9022011
895,1,0,2,18,False,3,2,0.18,0.1667,0.47,0.2985,2,168,170,9022011
896,1,0,2,19,False,3,3,0.14,0.1212,0.86,0.2537,1,87,88,9022011
897,1,0,2,20,False,3,3,0.14,0.1515,0.86,0.1642,0,84,84,9022011
898,1,0,2,21,False,3,2,0.14,0.1515,0.86,0.1642,0,83,83,9022011
899,1,0,2,22,False,3,3,0.16,0.1667,0.8,0.1642,4,42,46,9022011
900,1,0,2,23,False,3,3,0.16,0.1515,0.8,0.194,0,37,37,9022011
901,1,0,2,0,False,4,3,0.14,0.1364,0.86,0.194,0,16,16,10022011
902,1,0,2,1,False,4,3,0.14,0.1515,0.8,0.1343,0,7,7,10022011
903,1,0,2,2,False,4,3,0.14,0.1515,0.8,0.1343,0,3,3,10022011
904,1,0,2,4,False,4,2,0.14,0.1364,0.59,0.2239,0,1,1,10022011
905,1,0,2,5,False,4,2,0.12,0.1212,0.5,0.2239,0,6,6,10022011
906,1,0,2,6,False,4,2,0.12,0.1212,0.54,0.2836,0,26,26,10022011
907,1,0,2,7,False,4,1,0.1,0.0758,0.5,0.4179,0,99,99,10022011
908,1,0,2,8,False,4,1,0.1,0.0758,0.49,0.3284,5,173,178,10022011
909,1,0,2,9,False,4,1,0.12,0.1061,0.42,0.3582,1,121,122,10022011
910,1,0,2,10,False,4,1,0.12,0.1061,0.42,0.2985,1,34,35,10022011
911,1,0,2,11,False,4,1,0.14,0.1212,0.39,0.3582,1,44,45,10022011
912,1,0,2,12,False,4,1,0.16,0.1364,0.34,0.3881,4,65,69,10022011
913,1,0,2,13,False,4,1,0.18,0.1667,0.29,0.2985,3,59,62,10022011
914,1,0,2,14,False,4,1,0.2,0.1818,0.27,0.2836,6,42,48,10022011
915,1,0,2,15,False,4,1,0.2,0.197,0.25,0.2537,0,50,50,10022011
916,1,0,2,16,False,4,1,0.2,0.1818,0.27,0.2985,4,76,80,10022011
917,1,0,2,17,False,4,1,0.18,0.1818,0.26,0.194,6,159,165,10022011
918,1,0,2,18,False,4,1,0.16,0.1818,0.28,0.1343,3,157,160,10022011
919,1,0,2,19,False,4,1,0.14,0.1667,0.28,0.1045,2,110,112,10022011
920,1,0,2,20,False,4,1,0.14,0.1818,0.31,0.0896,4,93,97,10022011
921,1,0,2,21,False,4,1,0.14,0.2121,0.39,0.0,2,70,72,10022011
922,1,0,2,22,False,4,1,0.12,0.197,0.39,0.0,4,47,51,10022011
923,1,0,2,23,False,4,1,0.12,0.1515,0.42,0.1045,1,33,34,10022011
924,1,0,2,0,False,5,1,0.1,0.1364,0.49,0.1045,2,12,14,11022011
925,1,0,2,1,False,5,1,0.1,0.1364,0.54,0.0896,1,6,7,11022011
926,1,0,2,2,False,5,1,0.1,0.1364,0.54,0.0896,0,3,3,11022011
927,1,0,2,5,False,5,1,0.08,0.1212,0.63,0.0896,0,4,4,11022011
928,1,0,2,6,False,5,1,0.1,0.1818,0.68,0.0,1,23,24,11022011
929,1,0,2,7,False,5,1,0.08,0.1667,0.73,0.0,1,73,74,11022011
930,1,0,2,8,False,5,1,0.1,0.1212,0.74,0.1642,4,212,216,11022011
931,1,0,2,9,False,5,1,0.12,0.1212,0.74,0.2239,8,132,140,11022011
932,1,0,2,10,False,5,1,0.14,0.1364,0.69,0.194,5,39,44,11022011
933,1,0,2,11,False,5,1,0.22,0.2273,0.47,0.1343,12,52,64,11022011
934,1,0,2,12,False,5,1,0.22,0.2273,0.47,0.1343,7,64,71,11022011
935,1,0,2,13,False,5,1,0.24,0.2273,0.35,0.194,21,89,110,11022011
936,1,0,2,14,False,5,1,0.3,0.2879,0.26,0.2537,17,67,84,11022011
937,1,0,2,15,False,5,1,0.32,0.3182,0.21,0.1642,12,62,74,11022011
