instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Date,Date_Integer
682,31-01-2011,1,0,1,17,False,1,2,0.16,0.1515,0.59,0.194,6,155,161,2011-01-31,31012011
683,31-01-2011,1,0,1,18,False,1,2,0.16,0.1515,0.55,0.2239,3,153,156,2011-01-31,31012011
684,31-01-2011,1,0,1,19,False,1,1,0.3,0.3182,0.61,0.1045,3,108,111,2011-01-31,31012011
685,31-01-2011,1,0,1,20,False,1,3,0.16,0.1667,0.59,0.1642,0,78,78,2011-01-31,31012011
686,31-01-2011,1,0,1,21,False,1,3,0.16,0.197,0.59,0.0896,3,53,56,2011-01-31,31012011
687,31-01-2011,1,0,1,22,False,1,2,0.16,0.1818,0.59,0.1045,0,34,34,2011-01-31,31012011
688,31-01-2011,1,0,1,23,False,1,2,0.16,0.197,0.64,0.0896,2,15,17,2011-01-31,31012011
689,01-02-2011,1,0,2,0,False,2,2,0.16,0.1818,0.64,0.1045,2,6,8,2011-02-01,1022011
690,01-02-2011,1,0,2,1,False,2,2,0.16,0.1818,0.69,0.1045,0,3,3,2011-02-01,1022011
691,01-02-2011,1,0,2,2,False,2,2,0.16,0.2273,0.69,0.0,0,2,2,2011-02-01,1022011
692,01-02-2011,1,0,2,3,False,2,2,0.16,0.2273,0.69,0.0,0,2,2,2011-02-01,1022011
693,01-02-2011,1,0,2,5,False,2,3,0.14,0.2121,0.93,0.0,0,3,3,2011-02-01,1022011
694,01-02-2011,1,0,2,6,False,2,3,0.14,0.2121,0.93,0.0,0,22,22,2011-02-01,1022011
695,01-02-2011,1,0,2,7,False,2,3,0.16,0.2273,0.93,0.0,0,52,52,2011-02-01,1022011
696,01-02-2011,1,0,2,8,False,2,3,0.16,0.2273,0.93,0.0,3,132,135,2011-02-01,1022011
697,01-02-2011,1,0,2,9,False,2,2,0.16,0.2273,0.93,0.0,2,114,116,2011-02-01,1022011
698,01-02-2011,1,0,2,10,False,2,2,0.16,0.2273,0.93,0.0,0,47,47,2011-02-01,1022011
699,01-02-2011,1,0,2,11,False,2,2,0.18,0.2424,0.86,0.0,2,49,51,2011-02-01,1022011
700,01-02-2011,1,0,2,12,False,2,2,0.2,0.2576,0.86,0.0,2,53,55,2011-02-01,1022011
701,01-02-2011,1,0,2,13,False,2,2,0.2,0.2576,0.86,0.0,3,49,52,2011-02-01,1022011
702,01-02-2011,1,0,2,14,False,2,2,0.22,0.2576,0.8,0.0896,5,49,54,2011-02-01,1022011
703,01-02-2011,1,0,2,15,False,2,2,0.24,0.2879,0.75,0.0,7,45,52,2011-02-01,1022011
704,01-02-2011,1,0,2,16,False,2,2,0.24,0.2424,0.75,0.1343,3,61,64,2011-02-01,1022011
705,01-02-2011,1,0,2,17,False,2,2,0.24,0.2879,0.75,0.0,4,172,176,2011-02-01,1022011
706,01-02-2011,1,0,2,18,False,2,2,0.24,0.2576,0.81,0.1045,3,165,168,2011-02-01,1022011
707,01-02-2011,1,0,2,19,False,2,2,0.24,0.2424,0.81,0.1343,3,105,108,2011-02-01,1022011
708,01-02-2011,1,0,2,20,False,2,2,0.22,0.2273,0.87,0.1343,5,69,74,2011-02-01,1022011
709,01-02-2011,1,0,2,21,False,2,2,0.22,0.2273,0.87,0.1343,0,64,64,2011-02-01,1022011
710,01-02-2011,1,0,2,22,False,2,2,0.22,0.2576,0.87,0.0896,2,34,36,2011-02-01,1022011
711,01-02-2011,1,0,2,23,False,2,3,0.2,0.197,0.93,0.194,1,15,16,2011-02-01,1022011
712,02-02-2011,1,0,2,0,False,3,3,0.22,0.2424,0.93,0.1045,0,2,2,2011-02-02,2022011
713,02-02-2011,1,0,2,1,False,3,3,0.22,0.2273,0.93,0.194,0,3,3,2011-02-02,2022011
714,02-02-2011,1,0,2,2,False,3,3,0.22,0.2273,0.93,0.1343,4,0,4,2011-02-02,2022011
715,02-02-2011,1,0,2,3,False,3,3,0.22,0.2273,0.93,0.1343,0,1,1,2011-02-02,2022011
716,02-02-2011,1,0,2,4,False,3,3,0.22,0.2121,0.93,0.2836,0,1,1,2011-02-02,2022011
717,02-02-2011,1,0,2,5,False,3,3,0.22,0.2424,0.93,0.1045,0,3,3,2011-02-02,2022011
718,02-02-2011,1,0,2,6,False,3,3,0.22,0.2424,0.93,0.1045,1,17,18,2011-02-02,2022011
719,02-02-2011,1,0,2,7,False,3,3,0.22,0.2121,0.93,0.2239,1,48,49,2011-02-02,2022011
720,02-02-2011,1,0,2,8,False,3,3,0.22,0.2121,0.93,0.2239,1,154,155,2011-02-02,2022011
721,02-02-2011,1,0,2,9,False,3,2,0.24,0.2576,0.93,0.0896,4,119,123,2011-02-02,2022011
722,02-02-2011,1,0,2,10,False,3,2,0.22,0.2727,1.0,0.0,2,59,61,2011-02-02,2022011
723,02-02-2011,1,0,2,11,False,3,2,0.24,0.2273,0.93,0.194,5,47,52,2011-02-02,2022011
724,02-02-2011,1,0,2,12,False,3,2,0.24,0.2273,0.93,0.2239,3,61,64,2011-02-02,2022011
725,02-02-2011,1,0,2,13,False,3,1,0.34,0.3333,0.93,0.1642,1,74,75,2011-02-02,2022011
726,02-02-2011,1,0,2,14,False,3,1,0.38,0.3939,0.82,0.3881,2,61,63,2011-02-02,2022011
727,02-02-2011,1,0,2,15,False,3,1,0.38,0.3939,0.76,0.3284,10,66,76,2011-02-02,2022011
728,02-02-2011,1,0,2,16,False,3,1,0.36,0.3333,0.71,0.2985,8,95,103,2011-02-02,2022011
729,02-02-2011,1,0,2,17,False,3,1,0.36,0.3182,0.53,0.5224,7,183,190,2011-02-02,2022011
730,02-02-2011,1,0,2,18,False,3,1,0.34,0.2879,0.42,0.5522,7,175,182,2011-02-02,2022011
731,02-02-2011,1,0,2,19,False,3,1,0.28,0.2424,0.45,0.4925,3,88,91,2011-02-02,2022011
732,02-02-2011,1,0,2,20,False,3,1,0.24,0.197,0.48,0.5522,4,71,75,2011-02-02,2022011
733,02-02-2011,1,0,2,21,False,3,1,0.22,0.197,0.47,0.3284,1,62,63,2011-02-02,2022011
734,02-02-2011,1,0,2,22,False,3,1,0.22,0.2121,0.44,0.2537,5,35,40,2011-02-02,2022011
735,02-02-2011,1,0,2,23,False,3,1,0.2,0.1667,0.44,0.4478,3,29,32,2011-02-02,2022011
736,03-02-2011,1,0,2,0,False,4,1,0.2,0.1667,0.4,0.4478,1,11,12,2011-02-03,3022011
737,03-02-2011,1,0,2,1,False,4,1,0.2,0.1515,0.44,0.5224,0,5,5,2011-02-03,3022011
738,03-02-2011,1,0,2,2,False,4,1,0.18,0.1667,0.43,0.2537,0,2,2,2011-02-03,3022011
739,03-02-2011,1,0,2,3,False,4,1,0.18,0.1667,0.43,0.2537,0,1,1,2011-02-03,3022011
740,03-02-2011,1,0,2,5,False,4,1,0.16,0.1364,0.5,0.2985,0,2,2,2011-02-03,3022011
741,03-02-2011,1,0,2,6,False,4,1,0.16,0.1364,0.43,0.3582,0,39,39,2011-02-03,3022011
742,03-02-2011,1,0,2,7,False,4,1,0.14,0.1212,0.5,0.3284,1,86,87,2011-02-03,3022011
743,03-02-2011,1,0,2,8,False,4,1,0.14,0.1212,0.5,0.3582,4,184,188,2011-02-03,3022011
744,03-02-2011,1,0,2,9,False,4,1,0.16,0.1364,0.47,0.2985,6,127,133,2011-02-03,3022011
745,03-02-2011,1,0,2,10,False,4,1,0.18,0.1515,0.43,0.3284,2,50,52,2011-02-03,3022011
746,03-02-2011,1,0,2,11,False,4,1,0.18,0.1364,0.43,0.4478,9,55,64,2011-02-03,3022011
747,03-02-2011,1,0,2,12,False,4,1,0.2,0.1818,0.4,0.3582,2,67,69,2011-02-03,3022011
748,03-02-2011,1,0,2,13,False,4,1,0.2,0.1667,0.4,0.4179,4,47,51,2011-02-03,3022011
749,03-02-2011,1,0,2,14,False,4,1,0.22,0.197,0.37,0.3881,4,43,47,2011-02-03,3022011
750,03-02-2011,1,0,2,15,False,4,1,0.22,0.197,0.37,0.3284,4,56,60,2011-02-03,3022011
751,03-02-2011,1,0,2,16,False,4,1,0.22,0.2121,0.37,0.2537,5,73,78,2011-02-03,3022011
752,03-02-2011,1,0,2,17,False,4,1,0.2,0.197,0.4,0.194,5,170,175,2011-02-03,3022011
753,03-02-2011,1,0,2,18,False,4,1,0.2,0.2121,0.4,0.1642,2,145,147,2011-02-03,3022011
754,03-02-2011,1,0,2,19,False,4,1,0.2,0.2576,0.4,0.0,4,92,96,2011-02-03,3022011
755,03-02-2011,1,0,2,20,False,4,1,0.2,0.2273,0.47,0.0896,1,108,109,2011-02-03,3022011
756,03-02-2011,1,0,2,21,False,4,1,0.18,0.2121,0.55,0.1045,1,53,54,2011-02-03,3022011
757,03-02-2011,1,0,2,22,False,4,1,0.18,0.2121,0.51,0.0896,2,39,41,2011-02-03,3022011
758,03-02-2011,1,0,2,23,False,4,1,0.2,0.2273,0.47,0.1045,4,34,38,2011-02-03,3022011
759,04-02-2011,1,0,2,0,False,5,2,0.2,0.2576,0.44,0.0,3,10,13,2011-02-04,4022011
760,04-02-2011,1,0,2,1,False,5,2,0.16,0.2273,0.59,0.0,0,7,7,2011-02-04,4022011
761,04-02-2011,1,0,2,2,False,5,2,0.14,0.1667,0.63,0.1045,0,1,1,2011-02-04,4022011
762,04-02-2011,1,0,2,3,False,5,2,0.14,0.1667,0.63,0.1045,0,1,1,2011-02-04,4022011
763,04-02-2011,1,0,2,5,False,5,2,0.14,0.1515,0.63,0.1343,0,7,7,2011-02-04,4022011
764,04-02-2011,1,0,2,6,False,5,2,0.16,0.2273,0.55,0.0,2,26,28,2011-02-04,4022011
765,04-02-2011,1,0,2,7,False,5,1,0.14,0.2121,0.59,0.0,0,87,87,2011-02-04,4022011
766,04-02-2011,1,0,2,8,False,5,1,0.14,0.1515,0.74,0.1343,3,217,220,2011-02-04,4022011
767,04-02-2011,1,0,2,9,False,5,2,0.16,0.1818,0.8,0.1343,3,124,127,2011-02-04,4022011
768,04-02-2011,1,0,2,10,False,5,2,0.2,0.2121,0.51,0.1343,5,46,51,2011-02-04,4022011
769,04-02-2011,1,0,2,11,False,5,1,0.22,0.2273,0.51,0.1642,3,61,64,2011-02-04,4022011
770,04-02-2011,1,0,2,12,False,5,2,0.24,0.2424,0.48,0.1642,8,78,86,2011-02-04,4022011
771,04-02-2011,1,0,2,13,False,5,2,0.26,0.2576,0.5,0.2239,9,73,82,2011-02-04,4022011
772,04-02-2011,1,0,2,14,False,5,2,0.28,0.2727,0.45,0.1642,15,76,91,2011-02-04,4022011
773,04-02-2011,1,0,2,15,False,5,2,0.28,0.2727,0.48,0.2537,9,81,90,2011-02-04,4022011
774,04-02-2011,1,0,2,16,False,5,2,0.3,0.2879,0.42,0.2239,8,91,99,2011-02-04,4022011
775,04-02-2011,1,0,2,17,False,5,2,0.26,0.2727,0.56,0.1343,10,195,205,2011-02-04,4022011
776,04-02-2011,1,0,2,18,False,5,2,0.24,0.2576,0.6,0.1045,3,152,155,2011-02-04,4022011
777,04-02-2011,1,0,2,19,False,5,2,0.24,0.2424,0.65,0.1343,1,102,103,2011-02-04,4022011
778,04-02-2011,1,0,2,20,False,5,2,0.24,0.2424,0.65,0.1642,2,69,71,2011-02-04,4022011
779,04-02-2011,1,0,2,21,False,5,2,0.24,0.2424,0.7,0.1642,2,41,43,2011-02-04,4022011
780,04-02-2011,1,0,2,22,False,5,2,0.24,0.2424,0.65,0.1642,1,45,46,2011-02-04,4022011
781,04-02-2011,1,0,2,23,False,5,2,0.24,0.2424,0.7,0.1343,1,30,31,2011-02-04,4022011
782,05-02-2011,1,0,2,0,False,6,2,0.24,0.2424,0.7,0.1642,3,36,39,2011-02-05,5022011
783,05-02-2011,1,0,2,1,False,6,2,0.24,0.2424,0.65,0.1642,1,17,18,2011-02-05,5022011
784,05-02-2011,1,0,2,2,False,6,2,0.24,0.2424,0.75,0.1642,5,12,17,2011-02-05,5022011
785,05-02-2011,1,0,2,3,False,6,2,0.24,0.2424,0.75,0.1642,1,10,11,2011-02-05,5022011
786,05-02-2011,1,0,2,4,False,6,3,0.22,0.2273,0.93,0.1343,0,8,8,2011-02-05,5022011
787,05-02-2011,1,0,2,5,False,6,3,0.2,0.2273,1.0,0.0896,0,9,9,2011-02-05,5022011
788,05-02-2011,1,0,2,6,False,6,3,0.2,0.2576,1.0,0.0,0,4,4,2011-02-05,5022011
789,05-02-2011,1,0,2,7,False,6,3,0.22,0.2576,0.93,0.0896,0,4,4,2011-02-05,5022011
790,05-02-2011,1,0,2,8,False,6,3,0.2,0.2273,1.0,0.0896,0,10,10,2011-02-05,5022011
791,05-02-2011,1,0,2,9,False,6,3,0.2,0.2273,1.0,0.0896,3,17,20,2011-02-05,5022011
792,05-02-2011,1,0,2,10,False,6,3,0.2,0.2121,1.0,0.1343,3,31,34,2011-02-05,5022011
793,05-02-2011,1,0,2,11,False,6,3,0.22,0.2273,1.0,0.1343,1,46,47,2011-02-05,5022011
794,05-02-2011,1,0,2,12,False,6,3,0.22,0.2273,1.0,0.1642,10,42,52,2011-02-05,5022011
795,05-02-2011,1,0,2,13,False,6,3,0.22,0.2273,1.0,0.1642,10,62,72,2011-02-05,5022011
796,05-02-2011,1,0,2,14,False,6,3,0.22,0.2727,1.0,0.0,5,50,55,2011-02-05,5022011
797,05-02-2011,1,0,2,15,False,6,3,0.22,0.2727,1.0,0.0,11,49,60,2011-02-05,5022011
798,05-02-2011,1,0,2,16,False,6,3,0.22,0.2273,1.0,0.1343,8,63,71,2011-02-05,5022011
799,05-02-2011,1,0,2,17,False,6,2,0.24,0.2121,1.0,0.2836,14,64,78,2011-02-05,5022011
800,05-02-2011,1,0,2,18,False,6,2,0.28,0.2424,0.93,0.4478,2,81,83,2011-02-05,5022011
801,05-02-2011,1,0,2,19,False,6,2,0.28,0.2424,0.93,0.4478,6,78,84,2011-02-05,5022011
802,05-02-2011,1,0,2,20,False,6,1,0.3,0.2879,0.87,0.2537,5,64,69,2011-02-05,5022011
803,05-02-2011,1,0,2,21,False,6,1,0.26,0.2576,1.0,0.194,3,53,56,2011-02-05,5022011
804,05-02-2011,1,0,2,22,False,6,1,0.26,0.2727,0.93,0.1343,2,43,45,2011-02-05,5022011
805,05-02-2011,1,0,2,23,False,6,1,0.26,0.2576,0.93,0.2239,7,52,59,2011-02-05,5022011
806,06-02-2011,1,0,2,0,False,0,1,0.26,0.2576,0.7,0.194,2,37,39,2011-02-06,6022011
807,06-02-2011,1,0,2,1,False,0,1,0.26,0.2273,0.65,0.4179,4,40,44,2011-02-06,6022011
808,06-02-2011,1,0,2,2,False,0,1,0.26,0.2273,0.6,0.3284,0,20,20,2011-02-06,6022011
809,06-02-2011,1,0,2,3,False,0,1,0.26,0.2879,0.6,0.0896,3,10,13,2011-02-06,6022011
810,06-02-2011,1,0,2,4,False,0,1,0.26,0.2273,0.6,0.3582,0,2,2,2011-02-06,6022011
811,06-02-2011,1,0,2,5,False,0,1,0.26,0.2576,0.6,0.2239,0,1,1,2011-02-06,6022011
812,06-02-2011,1,0,2,6,False,0,1,0.26,0.2576,0.6,0.2239,0,1,1,2011-02-06,6022011
813,06-02-2011,1,0,2,7,False,0,1,0.24,0.2424,0.65,0.1642,0,8,8,2011-02-06,6022011
814,06-02-2011,1,0,2,8,False,0,1,0.24,0.2576,0.65,0.1045,2,21,23,2011-02-06,6022011
815,06-02-2011,1,0,2,9,False,0,1,0.28,0.2879,0.56,0.1045,7,38,45,2011-02-06,6022011
816,06-02-2011,1,0,2,10,False,0,1,0.3,0.2879,0.52,0.2537,15,74,89,2011-02-06,6022011
817,06-02-2011,1,0,2,11,False,0,1,0.32,0.303,0.49,0.2537,28,89,117,2011-02-06,6022011
818,06-02-2011,1,0,2,12,False,0,1,0.34,0.3333,0.46,0.0,48,126,174,2011-02-06,6022011
819,06-02-2011,1,0,2,13,False,0,1,0.34,0.3636,0.46,0.0,47,135,182,2011-02-06,6022011
820,06-02-2011,1,0,2,14,False,0,1,0.34,0.3485,0.46,0.0896,47,114,161,2011-02-06,6022011
821,06-02-2011,1,0,2,15,False,0,1,0.34,0.3485,0.46,0.0896,52,130,182,2011-02-06,6022011
822,06-02-2011,1,0,2,16,False,0,1,0.34,0.3485,0.49,0.1045,42,115,157,2011-02-06,6022011
823,06-02-2011,1,0,2,17,False,0,1,0.34,0.3636,0.46,0.0,24,97,121,2011-02-06,6022011
824,06-02-2011,1,0,2,18,False,0,1,0.3,0.303,0.56,0.1642,13,65,78,2011-02-06,6022011
825,06-02-2011,1,0,2,19,False,0,1,0.28,0.2879,0.61,0.1343,1,20,21,2011-02-06,6022011
826,06-02-2011,1,0,2,20,False,0,1,0.28,0.2879,0.61,0.1045,5,21,26,2011-02-06,6022011
827,06-02-2011,1,0,2,21,False,0,1,0.26,0.303,0.6,0.0,5,22,27,2011-02-06,6022011
828,06-02-2011,1,0,2,22,False,0,1,0.26,0.303,0.6,0.0,5,57,62,2011-02-06,6022011
829,06-02-2011,1,0,2,23,False,0,1,0.24,0.2879,0.65,0.0,4,26,30,2011-02-06,6022011
830,07-02-2011,1,0,2,0,False,1,1,0.24,0.2879,0.65,0.0,1,14,15,2011-02-07,7022011
831,07-02-2011,1,0,2,1,False,1,1,0.22,0.2727,0.75,0.0,1,4,5,2011-02-07,7022011
832,07-02-2011,1,0,2,2,False,1,1,0.2,0.2576,0.8,0.0,0,3,3,2011-02-07,7022011
833,07-02-2011,1,0,2,3,False,1,1,0.2,0.2576,0.86,0.0,0,1,1,2011-02-07,7022011
834,07-02-2011,1,0,2,4,False,1,1,0.2,0.2576,0.86,0.0,1,1,2,2011-02-07,7022011
835,07-02-2011,1,0,2,5,False,1,1,0.2,0.2576,0.86,0.0,1,9,10,2011-02-07,7022011
836,07-02-2011,1,0,2,6,False,1,1,0.18,0.2424,0.93,0.0,1,29,30,2011-02-07,7022011
837,07-02-2011,1,0,2,7,False,1,1,0.18,0.2424,0.86,0.0,6,89,95,2011-02-07,7022011
838,07-02-2011,1,0,2,8,False,1,2,0.16,0.2273,1.0,0.0,7,223,230,2011-02-07,7022011
839,07-02-2011,1,0,2,9,False,1,1,0.22,0.2727,0.8,0.0,3,115,118,2011-02-07,7022011
840,07-02-2011,1,0,2,10,False,1,1,0.24,0.2576,0.75,0.1045,6,49,55,2011-02-07,7022011
841,07-02-2011,1,0,2,11,False,1,1,0.3,0.3182,0.65,0.0896,11,36,47,2011-02-07,7022011
842,07-02-2011,1,0,2,12,False,1,2,0.32,0.3485,0.62,0.0,7,59,66,2011-02-07,7022011
843,07-02-2011,1,0,2,13,False,1,2,0.36,0.3636,0.57,0.0896,10,54,64,2011-02-07,7022011
844,07-02-2011,1,0,2,14,False,1,2,0.36,0.3636,0.57,0.0896,8,52,60,2011-02-07,7022011
845,07-02-2011,1,0,2,15,False,1,2,0.38,0.3939,0.54,0.0896,4,46,50,2011-02-07,7022011
846,07-02-2011,1,0,2,16,False,1,2,0.36,0.3485,0.57,0.1343,16,98,114,2011-02-07,7022011
847,07-02-2011,1,0,2,17,False,1,2,0.32,0.3182,0.7,0.1642,9,207,216,2011-02-07,7022011
848,07-02-2011,1,0,2,18,False,1,2,0.34,0.3333,0.66,0.1343,5,170,175,2011-02-07,7022011
849,07-02-2011,1,0,2,19,False,1,2,0.32,0.3485,0.7,0.0,5,123,128,2011-02-07,7022011
850,07-02-2011,1,0,2,20,False,1,2,0.32,0.3333,0.7,0.1045,6,82,88,2011-02-07,7022011
851,07-02-2011,1,0,2,21,False,1,1,0.32,0.3485,0.7,0.0,3,75,78,2011-02-07,7022011
852,07-02-2011,1,0,2,22,False,1,1,0.28,0.303,0.81,0.0896,3,34,37,2011-02-07,7022011
853,07-02-2011,1,0,2,23,False,1,2,0.3,0.3333,0.81,0.0,6,19,25,2011-02-07,7022011
854,08-02-2011,1,0,2,0,False,2,2,0.28,0.3182,0.87,0.0,4,6,10,2011-02-08,8022011
855,08-02-2011,1,0,2,1,False,2,2,0.28,0.3182,0.87,0.0,0,4,4,2011-02-08,8022011
856,08-02-2011,1,0,2,2,False,2,2,0.26,0.2727,0.93,0.1045,1,1,2,2011-02-08,8022011
857,08-02-2011,1,0,2,3,False,2,3,0.28,0.2727,0.93,0.1642,0,1,1,2011-02-08,8022011
858,08-02-2011,1,0,2,4,False,2,1,0.26,0.2576,0.93,0.1642,0,3,3,2011-02-08,8022011
859,08-02-2011,1,0,2,5,False,2,1,0.26,0.2273,0.81,0.3284,0,2,2,2011-02-08,8022011
